page,name,url
1,Fullmetal Alchemist: Brotherhood,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood
1,Gintama°,https://myanimelist.net/anime/28977/Gintama°
1,Shingeki no Kyojin Season 3 Part 2,https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2
1,Steins;Gate,https://myanimelist.net/anime/9253/Steins_Gate
1,Fruits Basket: The Final,https://myanimelist.net/anime/42938/Fruits_Basket__The_Final
1,Gintama',https://myanimelist.net/anime/9969/Gintama
1,Hunter x Hunter (2011),https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011
1,Ginga Eiyuu Densetsu,https://myanimelist.net/anime/820/Ginga_Eiyuu_Densetsu
1,Gintama': Enchousen,https://myanimelist.net/anime/15417/Gintama__Enchousen
1,Gintama: The Final,https://myanimelist.net/anime/39486/Gintama__The_Final
1,Gintama.,https://myanimelist.net/anime/34096/Gintama
1,3-gatsu no Lion 2nd Season,https://myanimelist.net/anime/35180/3-gatsu_no_Lion_2nd_Season
1,Koe no Katachi,https://myanimelist.net/anime/28851/Koe_no_Katachi
1,Clannad: After Story,https://myanimelist.net/anime/4181/Clannad__After_Story
1,Gintama,https://myanimelist.net/anime/918/Gintama
1,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,https://myanimelist.net/anime/15335/Gintama_Movie_2__Kanketsu-hen_-_Yorozuya_yo_Eien_Nare
1,Violet Evergarden Movie,https://myanimelist.net/anime/37987/Violet_Evergarden_Movie
1,Owarimonogatari 2nd Season,https://myanimelist.net/anime/35247/Owarimonogatari_2nd_Season
1,Shingeki no Kyojin: The Final Season,https://myanimelist.net/anime/40028/Shingeki_no_Kyojin__The_Final_Season
1,Code Geass: Hangyaku no Lelouch R2,https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2
1,Kimi no Na wa.,https://myanimelist.net/anime/32281/Kimi_no_Na_wa
1,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,https://myanimelist.net/anime/37491/Gintama__Shirogane_no_Tamashii-hen_-_Kouhan-sen
1,Shiguang Dailiren,https://myanimelist.net/anime/44074/Shiguang_Dailiren
1,Mob Psycho 100 II,https://myanimelist.net/anime/37510/Mob_Psycho_100_II
1,Gintama.: Shirogane no Tamashii-hen,https://myanimelist.net/anime/36838/Gintama__Shirogane_no_Tamashii-hen
1,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,https://myanimelist.net/anime/32935/Haikyuu__Karasuno_Koukou_vs_Shiratorizawa_Gakuen_Koukou
1,Kizumonogatari III: Reiketsu-hen,https://myanimelist.net/anime/31758/Kizumonogatari_III__Reiketsu-hen
1,Monster,https://myanimelist.net/anime/19/Monster
1,Odd Taxi,https://myanimelist.net/anime/46102/Odd_Taxi
1,Sen to Chihiro no Kamikakushi,https://myanimelist.net/anime/199/Sen_to_Chihiro_no_Kamikakushi
1,Monogatari Series: Second Season,https://myanimelist.net/anime/17074/Monogatari_Series__Second_Season
1,Ousama Ranking,https://myanimelist.net/anime/40834/Ousama_Ranking
1,Cowboy Bebop,https://myanimelist.net/anime/1/Cowboy_Bebop
1,Kingdom 3rd Season,https://myanimelist.net/anime/40682/Kingdom_3rd_Season
1,Mo Dao Zu Shi: Wanjie Pian,https://myanimelist.net/anime/40434/Mo_Dao_Zu_Shi__Wanjie_Pian
1,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,https://myanimelist.net/anime/33095/Shouwa_Genroku_Rakugo_Shinjuu__Sukeroku_Futatabi-hen
1,Mushishi Zoku Shou 2nd Season,https://myanimelist.net/anime/24701/Mushishi_Zoku_Shou_2nd_Season
1,Fate/stay night Movie: Heaven's Feel - III. Spring Song,https://myanimelist.net/anime/33050/Fate_stay_night_Movie__Heavens_Feel_-_III_Spring_Song
1,Hajime no Ippo,https://myanimelist.net/anime/263/Hajime_no_Ippo
1,Jujutsu Kaisen (TV),https://myanimelist.net/anime/40748/Jujutsu_Kaisen_TV
1,Vinland Saga,https://myanimelist.net/anime/37521/Vinland_Saga
1,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,https://myanimelist.net/anime/44/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Tsuioku-hen
1,Mushishi Zoku Shou,https://myanimelist.net/anime/21939/Mushishi_Zoku_Shou
1,Code Geass: Hangyaku no Lelouch,https://myanimelist.net/anime/1575/Code_Geass__Hangyaku_no_Lelouch
1,Kimetsu no Yaiba Movie: Mugen Ressha-hen,https://myanimelist.net/anime/40456/Kimetsu_no_Yaiba_Movie__Mugen_Ressha-hen
1,Made in Abyss,https://myanimelist.net/anime/34599/Made_in_Abyss
1,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,https://myanimelist.net/anime/36862/Made_in_Abyss_Movie_3__Fukaki_Tamashii_no_Reimei
1,Ashita no Joe 2,https://myanimelist.net/anime/2921/Ashita_no_Joe_2
1,Evangelion: 3.0+1.0 Thrice Upon a Time,https://myanimelist.net/anime/3786/Evangelion__30_10_Thrice_Upon_a_Time
1,Great Teacher Onizuka,https://myanimelist.net/anime/245/Great_Teacher_Onizuka
2,Mononoke Hime,https://myanimelist.net/anime/164/Mononoke_Hime
2,Shigatsu wa Kimi no Uso,https://myanimelist.net/anime/23273/Shigatsu_wa_Kimi_no_Uso
2,Mushishi,https://myanimelist.net/anime/457/Mushishi
2,Haikyuu!! Second Season,https://myanimelist.net/anime/28891/Haikyuu_Second_Season
2,Hajime no Ippo: New Challenger,https://myanimelist.net/anime/5258/Hajime_no_Ippo__New_Challenger
2,Howl no Ugoku Shiro,https://myanimelist.net/anime/431/Howl_no_Ugoku_Shiro
2,Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen,https://myanimelist.net/anime/40591/Kaguya-sama_wa_Kokurasetai__Tensai-tachi_no_Renai_Zunousen
2,Natsume Yuujinchou Shi,https://myanimelist.net/anime/11665/Natsume_Yuujinchou_Shi
2,Violet Evergarden,https://myanimelist.net/anime/33352/Violet_Evergarden
